idx,R,G,B,hex,kind,col,row
350,127,188,187,#7FBCBB,singleton,29,5
351,195,184,222,#C3B8DE,singleton,30,5
352,200,155,152,#C89B98,singleton,31,5
353,194,145,246,#C291F6,singleton,32,5
354,173,155,249,#AD9BF9,singleton,33,5
355,236,219,173,#ECDBAD,singleton,34,5
356,138,216,224,#8AD8E0,singleton,35,5
357,202,171,209,#CAABD1,singleton,36,5
358,223,210,157,#DFD29D,singleton,37,5
359,244,173,254,#F4ADFE,singleton,38,5
360,246,213,239,#F6D5EF,singleton,39,5
361,130,247,152,#82F798,singleton,40,5
362,185,242,184,#B9F2B8,singleton,41,5
363,207,185,218,#CFB9DA,singleton,42,5
364,141,243,221,#8DF3DD,singleton,43,5
365,189,190,142,#BDBE8E,singleton,44,5
366,177,132,226,#B184E2,singleton,45,5
367,146,136,142,#92888E,singleton,46,5
368,218,180,145,#DAB491,singleton,47,5
369,233,227,229,#E9E3E5,singleton,48,5
370,193,211,237,#C1D3ED,singleton,49,5
371,153,202,187,#99CABB,singleton,50,5
372,134,215,191,#86D7BF,singleton,51,5
373,218,178,232,#DAB2E8,singleton,52,5
374,244,186,158,#F4BA9E,singleton,53,5
375,133,188,183,#85BCB7,singleton,54,5
376,243,161,147,#F3A193,singleton,55,5
377,142,193,168,#8EC1A8,singleton,56,5
378,156,227,204,#9CE3CC,singleton,57,5
379,224,167,194,#E0A7C2,singleton,58,5
380,134,207,142,#86CF8E,singleton,59,5
381,210,141,229,#D28DE5,singleton,60,5
382,236,243,168,#ECF3A8,singleton,61,5
383,161,182,230,#A1B6E6,singleton,62,5
384,205,215,209,#CDD7D1,singleton,63,5
385,249,157,204,#F99DCC,singleton,0,6
386,239,212,246,#EFD4F6,singleton,1,6
387,217,246,193,#D9F6C1,singleton,2,6
388,209,178,145,#D1B291,singleton,3,6
389,196,252,230,#C4FCE6,singleton,4,6
390,238,165,175,#EEA5AF,singleton,5,6
391,252,210,226,#FCD2E2,singleton,6,6
392,217,161,173,#D9A1AD,singleton,7,6
393,184,152,200,#B898C8,singleton,8,6
394,142,209,233,#8ED1E9,singleton,9,6
395,171,192,234,#ABC0EA,singleton,10,6
396,214,162,198,#D6A2C6,singleton,11,6
397,127,240,210,#7FF0D2,singleton,12,6
398,165,150,236,#A596EC,singleton,13,6
399,204,128,218,#CC80DA,singleton,14,6
400,211,166,247,#D3A6F7,singleton,15,6
401,192,178,144,#C0B290,singleton,16,6
402,183,208,131,#B7D083,singleton,17,6
403,239,159,251,#EF9FFB,singleton,18,6
404,159,182,187,#9FB6BB,singleton,19,6
405,173,202,164,#ADCAA4,singleton,20,6
406,215,165,241,#D7A5F1,singleton,21,6
407,166,238,217,#A6EED9,singleton,22,6
408,160,238,181,#A0EEB5,singleton,23,6
409,220,177,165,#DCB1A5,singleton,24,6
410,137,140,160,#898CA0,singleton,25,6
411,209,228,241,#D1E4F1,singleton,26,6
412,208,205,158,#D0CD9E,singleton,27,6
413,217,243,239,#D9F3EF,singleton,28,6
414,229,230,130,#E5E682,singleton,29,6
415,202,224,184,#CAE0B8,singleton,30,6
416,150,156,226,#969CE2,singleton,31,6
417,179,244,217,#B3F4D9,singleton,32,6
418,180,150,220,#B496DC,singleton,33,6
419,157,160,195,#9DA0C3,singleton,34,6
420,218,218,158,#DADA9E,singleton,35,6
421,222,229,146,#DEE592,singleton,36,6
422,218,204,209,#DACCD1,singleton,37,6
423,201,220,252,#C9DCFC,singleton,38,6
424,134,253,177,#86FDB1,singleton,39,6
425,129,192,135,#81C087,singleton,40,6
426,214,213,142,#D6D58E,singleton,41,6
427,251,197,147,#FBC593,singleton,42,6
428,194,213,151,#C2D597,singleton,43,6
429,198,232,183,#C6E8B7,singleton,44,6
430,184,179,172,#B8B3AC,singleton,45,6
431,218,254,152,#DAFE98,singleton,46,6
432,208,135,128,#D08780,singleton,47,6
433,238,239,146,#EEEF92,singleton,48,6
434,230,204,191,#E6CCBF,singleton,49,6
435,229,172,246,#E5ACF6,singleton,50,6
436,168,231,235,#A8E7EB,singleton,51,6
437,176,197,202,#B0C5CA,singleton,52,6
438,180,221,149,#B4DD95,singleton,53,6
439,138,154,143,#8A9A8F,singleton,54,6
440,250,147,227,#FA93E3,singleton,55,6
441,153,143,169,#998FA9,singleton,56,6
442,207,171,254,#CFABFE,singleton,57,6
443,152,175,184,#98AFB8,singleton,58,6
444,133,231,228,#85E7E4,singleton,59,6
445,250,149,247,#FA95F7,singleton,60,6
446,211,221,168,#D3DDA8,singleton,61,6
447,161,157,129,#A19D81,singleton,62,6
448,203,136,236,#CB88EC,singleton,63,6
449,225,164,159,#E1A49F,singleton,0,7
450,131,198,236,#83C6EC,singleton,1,7
451,240,243,220,#F0F3DC,singleton,2,7
452,175,203,188,#AFCBBC,singleton,3,7
453,150,149,128,#969580,singleton,4,7
454,246,143,182,#F68FB6,singleton,5,7
455,178,169,221,#B2A9DD,singleton,6,7
456,228,185,200,#E4B9C8,singleton,7,7
457,156,182,189,#9CB6BD,singleton,8,7
458,230,217,245,#E6D9F5,singleton,9,7
459,225,206,135,#E1CE87,singleton,10,7
460,187,236,134,#BBEC86,singleton,11,7
461,222,148,233,#DE94E9,singleton,12,7
462,165,138,250,#A58AFA,singleton,13,7
463,136,202,200,#88CAC8,singleton,14,7
464,187,188,199,#BBBCC7,singleton,15,7
465,167,169,141,#A7A98D,singleton,16,7
466,202,152,221,#CA98DD,singleton,17,7
467,142,252,234,#8EFCEA,singleton,18,7
468,214,230,143,#D6E68F,singleton,19,7
469,174,138,153,#AE8A99,singleton,20,7
470,230,204,253,#E6CCFD,singleton,21,7
471,180,217,167,#B4D9A7,singleton,22,7
472,250,151,250,#FA97FA,singleton,23,7
473,204,230,148,#CCE694,singleton,24,7
474,233,220,238,#E9DCEE,singleton,25,7
475,255,225,249,#FFE1F9,singleton,26,7
476,245,190,175,#F5BEAF,singleton,27,7
477,231,151,181,#E797B5,singleton,28,7
478,169,172,240,#A9ACF0,singleton,29,7
479,155,134,173,#9B86AD,singleton,30,7
480,217,157,137,#D99D89,singleton,31,7
481,218,161,253,#DAA1FD,singleton,32,7
482,165,131,241,#A583F1,singleton,33,7
483,158,172,145,#9EAC91,singleton,34,7
484,146,252,177,#92FCB1,singleton,35,7
485,200,164,159,#C8A49F,singleton,36,7
486,251,215,132,#FBD784,singleton,37,7
487,149,184,202,#95B8CA,singleton,38,7
488,233,254,181,#E9FEB5,singleton,39,7
489,199,138,172,#C78AAC,singleton,40,7
490,183,222,144,#B7DE90,singleton,41,7
491,204,242,200,#CCF2C8,singleton,42,7
492,138,142,185,#8A8EB9,singleton,43,7
493,240,179,218,#F0B3DA,singleton,44,7
494,150,213,145,#96D591,singleton,45,7
495,157,212,153,#9DD499,singleton,46,7
496,131,224,135,#83E087,singleton,47,7
497,207,159,175,#CF9FAF,singleton,48,7
498,168,195,227,#A8C3E3,singleton,49,7
499,190,239,162,#BEEFA2,singleton,50,7
500,199,130,250,#C782FA,singleton,51,7
501,181,231,205,#B5E7CD,singleton,52,7
502,128,197,137,#80C589,singleton,53,7
503,232,189,149,#E8BD95,singleton,54,7
504,229,138,162,#E58AA2,singleton,55,7
505,169,254,226,#A9FEE2,singleton,56,7
506,184,204,170,#B8CCAA,singleton,57,7
507,154,195,170,#9AC3AA,singleton,58,7
508,164,231,190,#A4E7BE,singleton,59,7
509,224,162,175,#E0A2AF,singleton,60,7
510,227,203,158,#E3CB9E,singleton,61,7
511,151,168,176,#97A8B0,singleton,62,7
512,223,224,238,#DFE0EE,singleton,63,7
513,195,156,141,#C39C8D,singleton,0,8
514,143,153,162,#8F99A2,singleton,1,8
515,241,233,148,#F1E994,singleton,2,8
516,139,255,196,#8BFFC4,singleton,3,8
517,129,133,163,#8185A3,singleton,4,8
518,247,172,190,#F7ACBE,singleton,5,8
519,208,144,127,#D0907F,singleton,6,8
520,142,159,162,#8E9FA2,singleton,7,8
521,217,132,241,#D984F1,singleton,8,8
522,246,205,225,#F6CDE1,singleton,9,8
523,241,201,157,#F1C99D,singleton,10,8
524,243,245,175,#F3F5AF,singleton,11,8
525,156,138,169,#9C8AA9,singleton,12,8
526,131,153,254,#8399FE,singleton,13,8
527,170,212,163,#AAD4A3,singleton,14,8
528,234,226,197,#EAE2C5,singleton,15,8
529,250,159,251,#FA9FFB,singleton,16,8
530,241,142,208,#F18ED0,singleton,17,8
531,238,180,252,#EEB4FC,singleton,18,8
532,234,181,149,#EAB595,singleton,19,8
533,176,250,155,#B0FA9B,singleton,20,8
534,177,153,180,#B199B4,singleton,21,8
535,166,141,143,#A68D8F,singleton,22,8
536,243,218,161,#F3DAA1,singleton,23,8
537,148,200,221,#94C8DD,singleton,24,8
538,130,227,202,#82E3CA,singleton,25,8
539,254,238,161,#FEEEA1,singleton,26,8
540,171,251,173,#ABFBAD,singleton,27,8
541,230,127,186,#E67FBA,singleton,28,8
542,204,133,192,#CC85C0,singleton,29,8
543,178,176,212,#B2B0D4,singleton,30,8
544,148,214,183,#94D6B7,singleton,31,8
545,224,248,186,#E0F8BA,singleton,32,8
546,182,161,234,#B6A1EA,singleton,33,8
547,181,134,196,#B586C4,singleton,34,8
548,217,220,198,#D9DCC6,singleton,35,8
549,242,235,207,#F2EBCF,singleton,36,8
550,178,235,198,#B2EBC6,singleton,37,8
551,243,132,254,#F384FE,singleton,38,8
552,237,202,152,#EDCA98,singleton,39,8
553,250,217,135,#FAD987,singleton,40,8
554,206,192,169,#CEC0A9,singleton,41,8
555,204,127,241,#CC7FF1,singleton,42,8
556,165,161,235,#A5A1EB,singleton,43,8
557,142,144,170,#8E90AA,singleton,44,8
558,204,245,244,#CCF5F4,singleton,45,8
559,233,140,162,#E98CA2,singleton,46,8
560,243,217,153,#F3D999,singleton,47,8
561,240,255,196,#F0FFC4,singleton,48,8
562,141,160,209,#8DA0D1,singleton,49,8
563,184,242,172,#B8F2AC,singleton,50,8
564,161,243,233,#A1F3E9,singleton,51,8
565,204,229,197,#CCE5C5,singleton,52,8
566,154,139,220,#9A8BDC,singleton,53,8
567,211,203,201,#D3CBC9,singleton,54,8
568,228,163,219,#E4A3DB,singleton,55,8
569,155,166,142,#9BA68E,singleton,56,8
570,137,132,189,#8984BD,singleton,57,8
571,245,134,254,#F586FE,singleton,58,8
572,237,222,192,#EDDEC0,singleton,59,8
573,228,191,222,#E4BFDE,singleton,60,8
574,160,236,174,#A0ECAE,singleton,61,8
575,190,236,156,#BEEC9C,singleton,62,8
576,192,254,143,#C0FE8F,singleton,63,8
577,174,206,128,#AECE80,singleton,0,9
578,197,159,141,#C59F8D,singleton,1,9
579,207,139,219,#CF8BDB,singleton,2,9
580,232,241,249,#E8F1F9,singleton,3,9
581,194,175,237,#C2AFED,singleton,4,9
582,238,171,236,#EEABEC,singleton,5,9
583,234,222,134,#EADE86,singleton,6,9
584,132,180,204,#84B4CC,singleton,7,9
585,253,179,223,#FDB3DF,singleton,8,9
586,154,165,182,#9AA5B6,singleton,9,9
587,190,218,167,#BEDAA7,singleton,10,9
588,254,218,181,#FEDAB5,singleton,11,9
589,188,175,230,#BCAFE6,singleton,12,9
590,184,142,233,#B88EE9,singleton,13,9
591,228,252,204,#E4FCCC,singleton,14,9
592,228,221,188,#E4DDBC,singleton,15,9
593,192,207,192,#C0CFC0,singleton,16,9
594,175,213,159,#AFD59F,singleton,17,9
595,136,169,153,#88A999,singleton,18,9
596,180,199,235,#B4C7EB,singleton,19,9
597,173,180,229,#ADB4E5,singleton,20,9
598,165,169,150,#A5A996,singleton,21,9
599,210,195,211,#D2C3D3,singleton,22,9
600,184,177,251,#B8B1FB,singleton,23,9
